10,218,207,165,68,70,627,106,111,60,191,181,86,1122,343,58,128,293,199,123,267,274,44,173,285,276,268,197,391,328,684,87,894,603,460,106,319,585,106,192,132,344,91,805,336,88,161,25,357,191,399,67,101,313,72,320,494,75,1256,284,129,563,307,274,112,227,609,364,1219,80,238,286,283,425,3219,653,482,602,187,250,118,102,489,317,299,188,173,185,154,72,477,1143,514,491,407,85,85,
11,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
12,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
13,218,207,165,68,70,627,106,111,60,191,181,86,1122,343,58,128,293,199,123,267,274,44,173,285,276,268,197,391,328,684,87,894,603,460,106,319,585,106,192,132,344,91,805,336,88,161,25,357,191,399,67,101,313,72,320,494,75,1256,284,129,563,307,274,112,227,609,364,1219,80,238,286,283,425,3219,653,482,602,187,250,118,102,489,317,299,188,173,185,154,72,477,1143,514,491,407,85,85,
14,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
15,27,26,21,9,9,78,13,14,8,24,23,11,140,43,7,16,37,25,15,33,34,6,22,36,35,33,25,49,41,86,11,112,75,58,13,40,73,13,24,17,43,11,101,42,11,20,3,45,24,50,8,13,39,9,40,62,9,157,36,16,70,38,34,14,28,76,46,152,10,30,36,35,53,402,82,60,75,23,31,15,13,61,40,37,23,22,23,19,9,60,143,64,61,51,11,11,
16,27,26,21,9,9,78,13,14,8,24,23,11,140,43,7,16,37,25,15,33,34,6,22,36,35,33,25,49,41,86,11,112,75,58,13,40,73,13,24,17,43,11,101,42,11,20,3,45,24,50,8,13,39,9,40,62,9,157,36,16,70,38,34,14,28,76,46,152,10,30,36,35,53,402,82,60,75,23,31,15,13,61,40,37,23,22,23,19,9,60,143,64,61,51,11,11,
17,27,26,21,9,9,78,13,14,8,24,23,11,140,43,7,16,37,25,15,33,34,6,22,36,35,33,25,49,41,86,11,112,75,58,13,40,73,13,24,17,43,11,101,42,11,20,3,45,24,50,8,13,39,9,40,62,9,157,36,16,70,38,34,14,28,76,46,152,10,30,36,35,53,402,82,60,75,23,31,15,13,61,40,37,23,22,23,19,9,60,143,64,61,51,11,11,
18,2152,2045,1636,676,694,6198,1049,1094,596,1885,1787,854,11089,3388,578,1263,2899,1965,1218,2641,2712,436,1707,2819,2730,2650,1947,3868,3246,6767,863,8839,5958,4553,1049,3157,5789,1049,1894,1307,3406,898,7959,3326,871,1592,249,3530,1885,3948,667,996,3094,711,3166,4882,738,12422,2810,1272,5567,3032,2712,1103,2241,6020,3601,12049,791,2356,2828,2801,4206,31825,6456,4766,5949,1850,2472,1165,1005,4837,3130,2952,1858,1707,1832,1521,711,4713,11302,5086,4855,4019,836,845,
19,4087,3884,3107,1283,1317,11770,1993,2077,1131,3580,3394,1621,21057,6434,1098,2398,5505,3732,2313,5015,5150,827,3242,5353,5184,5032,3698,7346,6164,12851,1638,16785,11314,8646,1993,5995,10993,1993,3597,2482,6467,1706,15113,6316,1655,3023,473,6704,3580,7498,1266,1891,5876,1351,6012,9271,1402,23590,5336,2415,10571,5758,5150,2094,4255,11432,6839,22881,1503,4475,5370,5319,7987,60436,12260,9051,11297,3512,4694,2212,1908,9186,5944,5606,3529,3242,3479,2888,1351,8950,21463,9659,9220,7633,1587,1604,
