27,650,454,81,658,658,658,650,151,85,151,135,85,658,117,81,115,115,454,65,91,133,65,680,57,650,740,454,133,135,85,85,680,135,133,454,454,650,57,680,454,650,81,436,454,85,680,135,436,117,151,151,436,228,228,133,228,91,379,454,117,379,81,680,85,135,620,620,650,57,91,436,650,650,3 943,740,3 943,3 943,115,454,85,85,658,658,436,115,65,228,91,57,3 943,3 943,3 943,3 943,3 943,31,31
28,95,37,174,111,111,111,95,18,29,18,38,29,111,283,174,287,287,7,151,286,58,151,67,141,95,62,7,58,38,29,29,67,38,58,7,7,95,141,67,7,95,174,57,7,29,67,38,57,283,18,18,57,37,37,58,37,286,109,37,283,109,174,67,29,38,95,95,95,141,286,57,95,95,61,62,61,61,287,37,29,29,111,111,57,287,151,37,286,141,61,61,61,61,61,217,217
29,738,16,21,992,992,992,738,179,30,179,55,30,992,24,21,35,35,31,,39,52,,54,11,738,62,31,52,55,30,30,54,55,52,31,31,738,11,54,31,738,21,527,31,30,54,55,527,24,179,179,527,289,289,52,289,39,111,16,24,111,21,54,30,55,640,640,738,11,39,527,738,738,282,62,282,282,35,16,30,30,992,992,527,35,,289,39,11,282,282,282,282,282,,
30,55,162,9,51,51,51,55,27,20,27,22,20,51,17,9,17,17,296,5,15,32,5,60,7,55,48,296,32,22,20,20,60,22,32,296,296,55,7,60,296,55,9,70,296,20,60,22,70,17,27,27,70,32,32,32,32,15,50,162,17,50,9,60,20,22,52,52,55,7,15,70,55,55,1 654,48,1 654,1 654,17,162,20,20,51,51,70,17,5,32,15,7,1 654,1 654,1 654,1 654,1 654,12,12
31,4,490,39,4,4,4,4,,3,,7,3,4,98,39,52,52,69,23,47,6,23,31,28,4,31,69,6,7,3,3,31,7,6,69,69,4,28,31,69,4,39,6,69,3,31,7,6,98,,,6,,,6,,47,,490,98,,39,31,3,7,,,4,28,47,6,4,4,367,31,367,367,52,490,3,3,4,4,6,52,23,,47,28,367,367,367,367,367,46,46
32,67,0,0,93,93,93,67,22,300,22,454,300,93,0,0,0,0,393,0,0,687,0,31,0,67,27,393,687,454,300,300,31,454,687,393,393,67,0,31,393,67,0,76,393,300,31,454,76,0,22,22,76,38,38,687,38,0,1 448,0,0,1 448,0,31,300,454,68,68,67,0,0,76,67,67,1 665,27,1 665,1 665,0,0,300,300,93,93,76,0,0,38,0,0,1 665,1 665,1 665,1 665,1 665,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,337,337,0,0,0,337,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 356,0,1 356,1 356,0,0,0,0,0,0,0,0,0,0,0,0,1 356,1 356,1 356,1 356,1 356,0,0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,659,15,7,1 029,1 029,1 029,659,275,316,275,510,316,1 029,22,7,31,31,81,4,21,570,4,149,3,659,179,81,570,510,316,316,149,510,570,81,81,659,3,149,81,659,7,533,81,316,149,510,533,22,275,275,533,534,534,570,534,21,1 448,15,22,1 448,7,149,316,510,1 025,1 025,659,3,21,533,659,659,460,179,460,460,31,15,316,316,1 029,1 029,533,31,4,534,21,3,460,460,460,460,460,6,6
37,42,,9,54,54,54,42,13,74,13,138,74,54,19,9,17,17,306,,19,141,,31,11,42,18,306,141,138,74,74,31,138,141,306,306,42,11,31,306,42,9,29,306,74,31,138,29,19,13,13,29,18,18,141,18,19,228,,19,228,9,31,74,138,43,43,42,11,19,29,42,42,1 061,18,1 061,1 061,17,,74,74,54,54,29,17,,18,19,11,1 061,1 061,1 061,1 061,1 061,,
38,200,76,7,275,275,275,200,56,22,56,37,22,275,13,7,,,25,,,34,,189,,200,159,25,34,37,22,22,189,37,34,25,25,200,,189,25,200,7,178,25,22,189,37,178,13,56,56,178,83,83,34,83,,60,76,13,60,7,189,22,37,166,166,200,,,178,200,200,114,159,114,114,,76,22,22,275,275,178,,,83,,,114,114,114,114,114,,
